Month,Passengers
Jan-95,112
Feb-95,118
Mar-95,132
Apr-95,129
May-95,121
Jun-95,135
Jul-95,148
Aug-95,148
Sep-95,136
Oct-95,119
Nov-95,104
Dec-95,118
Jan-96,115
Feb-96,126
Mar-96,141
Apr-96,135
May-96,125
Jun-96,149
Jul-96,170
Aug-96,170
Sep-96,158
Oct-96,133
Nov-96,114
Dec-96,140
Jan-97,145
Feb-97,150
Mar-97,178
Apr-97,163
May-97,172
Jun-97,178
Jul-97,199
Aug-97,199
Sep-97,184
Oct-97,162
Nov-97,146
Dec-97,166
Jan-98,171
Feb-98,180
Mar-98,193
Apr-98,181
May-98,183
Jun-98,218
Jul-98,230
Aug-98,242
Sep-98,209
Oct-98,191
Nov-98,172
Dec-98,194
Jan-99,196
Feb-99,196
Mar-99,236
Apr-99,235
May-99,229
Jun-99,243
Jul-99,264
Aug-99,272
Sep-99,237
Oct-99,211
Nov-99,180
Dec-99,201
Jan-00,204
Feb-00,188
Mar-00,235
Apr-00,227
May-00,234
Jun-00,264
Jul-00,302
Aug-00,293
Sep-00,259
Oct-00,229
Nov-00,203
Dec-00,229
Jan-01,242
Feb-01,233
Mar-01,267
Apr-01,269
May-01,270
Jun-01,315
Jul-01,364
Aug-01,347
Sep-01,312
Oct-01,274
Nov-01,237
Dec-01,278
Jan-02,284
Feb-02,277
Mar-02,317
Apr-02,313
May-02,318
Jun-02,374
Jul-02,413
Aug-02,405
Sep-02,355
Oct-02,306
Nov-02,271
Dec-02,306
